DateTime,Tweet Id,Tweet,Username,Location,content_indo
2022-11-15 13:18:12+00:00,1.592507258449322e+18,"Hallo sobat bima tiga ð 
di wilayah Kota Bandung dan sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan pembersihan Rumija.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/vIyfHjClOy",bimatigabdg,,halo sobat bima wilayah kota bandung izin informasi pelihara jalan kerja bersih rumija
2020-10-05 08:54:18+00:00,1.3130398002244977e+18,"@ridwankamil cenah jalan aset provinsi kang CIK punten bilih teu uniangeun 
Desa tidak mau membangun karena terbentur administrasi yg melarang tumpang tindih anggaran
Jln Mekarjaya 
Desa bojongkapok https://t.co/xfYfqjLvaK",Egi33090658,,cenah jalan aset provinsi kang cik punten bilih tau uniangeun desa bangun bentur administrasi larang tumpang tindih anggar jalan mekarjaya desa bojongkapok
2022-11-26 03:21:57+00:00,1.596343472268931e+18,"@rosela_setia @ridwankamil @BNPB_Indonesia @Kepolisian_RI @DivHumas_Polri @PolriBareskrim Kita maklumin aja mmg bgtu mgkin ajaran nya.
Mau bantuan nya tapi gak ada rasa tks nya malah membenci.
Hebat benar ajaran nya.hebat...hebat...",Lumbalaut1,,maklum ajar nya bantu nya tks nya benci hebat ajar nya hebat hebat
2019-05-06 05:12:54+00:00,1.1252671703787316e+18,@AhlulQohwah @sahaL_AS emang warga sana ahlak nya rendahan? spi lht warung aja tergoda? Jawa Barat iihhh...@ridwankamil,yeelen4,,warga ahlak nya rendah spi lihat warung goda jawa barat iihhh
2019-01-29 00:25:28+00:00,1.09004321429001e+18,"@ridwankamil @kemenpanrb @aheryawan Keren Pak Gub @ridwankamil , maka nya ketika Pak Gub memilih Pak @jokowi itupun pilihan yang terbaik menurut Pa Gub, kami ikut pilihan Pak Gub #RakyatJabarIkutPilihanRidwanKamil #JabarJokowikeun",aziskrw18,"Karawang, Jawa Barat",keren gubernur nya gubernur pilih pilih gubernur pilih gubernur
2020-09-19 06:24:58+00:00,1.3072040134236938e+18,"WAN ABUD NIHIL !
Gubernur JabarÂ Ridwan KamilÂ siapkan 6 hotel-dijadikan tempat isolasi mandiri. Pusat siapkan 26 hotel 3800 km.
https://t.co/lGVMVVg0HC
@ZainulA42038361 @kangmirdja @KotaLambert @PJayakarsa @USutendi @04_adisetiawan @marsonom97 @HapnyAndryanti @gundala222",cagubnyinyir2,"Jakarta Capital Region, Indone",wan abud nihil gubernur jabar ridwan kamil hotel isolasi mandiri pusat hotel km
2022-06-06 06:13:06+00:00,1.5336934451431465e+18,"Hari ini, Ahad, 5 Juni 2022, Wakil Ketua DPR RI Gus Muhaimin melakukan takziyah ke Gedung Pakuan bertemu dengan Gubernur Jawa Barat Ridwan Kamil dan keluarganya yang sedang mengalami duka mendalam atas wafatnya sang putra tercinta, 
@cakimiNOW
@ridwankamil

 #GusMuhaimin",Iqbal060580,,ahad juni wakil ketua dewan wakil rakyat ri gus muhaimin laku takziyah gedung paku temu gubernur jawa barat ridwan kamil keluarga alami duka wafat sang putra cinta
2022-12-06 04:21:23+00:00,1.5999823085176218e+18,"@minaka2604 @ridwankamil Dia mah jabatan doang Gubernur Jawa Barat. Tp jarang bahkan ga pernah merhatiin wilayah kabupatennya ð
Disekolahan aja banyak pungli ini itu gak ada perhatian /tindakan tegas dr gubernurnya. yg mana SD negeri harus nya raport itu gratis ini mah tiap ambil rapot bayar trs.",BlessFromAllah,,jabat doang gubernur jawa barat jarang perhati wilayah kabupaten sekolah pungut liar perhati tindak gubernur sekolah dasar negeri nya raport gratis ambil rapot bayar
2021-01-19 06:25:45+00:00,1.351415533237805e+18,"@ridwankamil Depok gimana mau patuh pak, coba cek satpol ppnya aja kalo patroli bergerombol pak.",berkacamataa,Karawang - depok,depok patuh coba cek polisi ppnya patroli gerombol
2019-06-30 07:19:49+00:00,1.1452304437860762e+18,"@zainus81 @ridwankamil atos kang tapi curam jalanna, enakna nyandak motor ulah kana mobil",dzikry_dudeng,Malangbong Garut,atos kang curam jalanna enakna nyandak motor ulah kana mobil
