DateTime,Tweet Id,Tweet,Username,Location,content_indo
2020-12-27 08:19:05+00:00,1343109130194538499,Tolong pak @aniesbaswedan @BangAriza @DKIJakarta @pln_123 tiang listrik dekat rumah di kasih lampu penerangan.. kasihan kalo malam gelap suka ada yg tersandung karna tutup got nya tidak rapat... posisi perbatasan RT 07 dan RT 09 Rw 012 kel kapuk https://t.co/IOFixoqtor,jasroelkoto,jakarta,tolong tiang listrik rumah kasih lampu terang kasihan malam gelap suka sandung tutup got nya rapat posisi batas rukun warga keluarga kapuk
2022-10-06 10:01:46+00:00,1577962311549325314,"@FirzaHusain Patah satu tumbuh seribu
Kami tetap nganis
INDONESIA BUTUH ANIES BASWEDAN UNTUK MEMPERBAIKI NEGERI YG SEDANG KOYAK INI AKIBAT ULAH SI RAJA KIBUL ESEMKA",DewaDew36692033,,patah tumbuh ribu nganis indonesia butuh anies baswedan negeri koyak akibat ulah sih raja kibul esemka
2019-11-04 16:59:59+00:00,1191399704774340608,@fahiraidris @rmol_id Q bangga padamu bunda fahira lanjutkan perjuanganmu masukan AA ke jeraji besi biar tahu rasanya menghina org gimana akibatnya pak Anies gubernur DKI Jakarta saya Jawa timur tapi klu seorg pejabat negara di hina kayak laporkan aja bunda selamat berjuang bunda fahira,HARDANGGARA1,,bangga bunda fahira juang masuk kakak jeraji besi biar hina orang akibat anies gubernur daerah khusus ibukota jakarta jawa timur orang jabat negara hina kayak lapor bunda selamat juang bunda fahira
2020-12-18 01:30:57+00:00,1339744931846389760,"Izin reklamasi yang selama ini menjadi kontroversi mulai dipertarungkan sejak 16/03/2020 di PTUN Jakarta. Berkas yang didaftarkan itu dilayangkan oleh PT Muara Wisesa Samudera selaku pengembang reklamasi pulau G yang menggugat Anies Baswedan, Gubernur DKI Jakarta lantaran tak ku https://t.co/qGFpwLhbR4",SitiKor08581558,,izin reklamasi kontroversi tarung adil tata usaha negara jakarta berkas daftar layang pt muara wisesa samudera kembang reklamasi pulau gugat anies baswedan gubernur daerah khusus ibukota jakarta lantar ku
2021-12-22 03:35:26+00:00,1473497381349978115,"Hbis gowes dri rumah di kota yg ramah sepeda se-Indonesia, langsung melancong ke area Sudirman-Thamrin, beranjak fotoÂ² di jembatan phinisi, lanjut nonton Formula E di Ancol, sambil memandang JIS  yang ikonik 
@FerdinandHaean3 
@GunRomli 
@adearmando1 
@psi_id 
 
Anies Baswedan ð https://t.co/GV2UpWKUyg",mzarifin58,"Brondong, Lamongan, Jawa Timur",habis gowes rumah kota ramah sepeda indonesia langsung lancong area sudirman thamrin anjak foto jembatan phinisi tonton formula e ancol pandang jis ikonik anies baswedan
2019-03-23 11:52:31+00:00,1109422668942471168,"Saya bangga ikut menyuarakan perjuangan pak @aniesbaswedan waktu pilkada DKI Jakarta. Dan sekarang terbukti kebangaan saya. 
Walaupun saya bukan masyarakat jakarta, tapi saya bangga kepada bapak...
Semoga bapak dan keluarga selalu dalam lindungan All0h Subhanahu wa ta'ala. Aamin.",mynewnickmoon,,bangga suara juang pilih kepala daerah daerah khusus ibukota jakarta bukti bangga masyarakat jakarta bangga moga keluarga lindung allh subhanahu wa ta ala amin
2022-12-23 02:18:22+00:00,1606111945202941952,@ruhutsitompul Si Poltak tiap hari ngomongin pak @aniesbaswedan terus. Sebegitu perhatian nya Poltak tua ini sama pak Anies ðð,BandarasEmanuel,,sih poltak bicara perhati nya poltak tua anies
2020-04-25 20:20:05+00:00,1254143163125522433,"Giat bak Oppo, kel. Rawaterate, armada 1349T
Sabtu, 25 april 2020 
@aniesbaswedan @Herwansyah @yogiikhwan @mmmulyana39 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#DinasLHDKI 
#PSBBJakarta
#YukPakaiMasker
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/N9XKLrxAjN",DinsihCakung,"Jakarta Timur, DKI Jakarta",giat bak oppo keluarga rawaterate armada t sabtu april
2020-10-14 14:43:27+00:00,1316389158865125378,"Pak Pras aja heran omongan Gubernur DKI Anies Baswedan koq gak didengarkan oleh KBN. Padahal, Pemprov DKI punya jatah kursi direksi di KBN tapi udah tiga tahun belum juga dilantik.

Kenapa ya?

#DukungPansusKBN #UsutAliranDanaKBN",Lia_Irfan,,pras heran omong gubernur daerah khusus ibukota anies baswedan dengar kbn perintah provinsi daerah khusus ibukota jatah kursi direksi kbn lantik ya
2022-11-05 16:07:38+00:00,1588926021155581952,"@Dennysiregar7 @aniesbaswedan Yeuh....Den urus keun ieu, aing teu bisa lalajo TV teu kabeli setbox... harga na mahal hese deui?????? bejaan Pak @jokowi  jeng @mohmahfudmd .... https://t.co/jwaYnVc31b",jarimmoehtar,Karawang indonesia,jijik den urus keun ih tau lalajo televisi tau kabel setbox harga na mahal hese bejaan jeng
