,DateTime,Tweet Id,Tweet,Username,Location,
17,2022-05-31 03:26:22+00:00,1.53148E+18,Eh lama2 jadi kepikiran juga sama Eril anaknya Pak Ridwan Kamil. Kebayang perasaan keluarga. Semoga Tuhan melancarkan pencarian ananda. Amin 🙏,Anthysaa,"Jayapura, Papua, Indonesia",
18,2022-05-31 03:26:22+00:00,1.53148E+18,Eh lama2 jadi kepikiran juga sama Eril anaknya Pak Ridwan Kamil. Kebayang perasaan keluarga. Semoga Tuhan melancarkan pencarian ananda. Amin 🙏,Anthysaa,"Jayapura, Papua, Indonesia",
19,2022-02-28 08:39:04+00:00,1.49822E+18,"@ridwankamil Innalillahi wainnailaihi Raji'uun, Allahummaghfirlahu warhamhu wa'afihi wa'afu'anhu, Aamiin.",UsmanAbdS1,,
20,2022-02-16 17:06:31+00:00,1.494E+18,@aniesbaswedan @ridwankamil Ini menunjukkan apa skill bola lapangan yang bagus apa yah ❓gak bermakna cuma mempertontonkan koalisi yg gak bakal berisi,EDusauw,"Papua, Indonesia",
21,2022-01-21 11:30:38+00:00,1.48449E+18,"@ridwankamil Nama nggak masalah, namun kalau saya cenderung kalau bisa menggunakan nama sesuai tempat di daerah tersebut sebagai penghargaan sebagai mana pepatah "" dimana bumi dipijak disitu langit dijunjung"".",UsmanAbdS1,,
22,2022-01-21 10:38:23+00:00,1.48448E+18,@ridwankamil S 7 pak,mualim_aswad,,
23,2021-10-04 11:10:49+00:00,1.44498E+18,"@sandiuno @ridwankamil Pak @sandiuno , kapan berkunjung ke jayapura pak?",Zaman43017831,,
24,2021-04-14 02:07:51+00:00,1.38215E+18,@arsHafis @ridwankamil Wah iya..mirip🙈,nanangpurwi,"Papua, Indonesia",
25,2020-11-16 14:40:31+00:00,1.32835E+18,@tyassg_ @akticiss @ridwankamil Puji Tuhan 😂,bravoR22_,Papua,
26,2020-10-22 05:19:47+00:00,1.31915E+18,"21. ""Negeri ini butuh banyak pemuda pencari solusi, bukan pemuda pemaki-maki."" - Ridwan Kamil",Yanzegh27,"Jayapura, Papua, Indonesia",
27,2020-10-22 05:19:47+00:00,1.31915E+18,"21. ""Negeri ini butuh banyak pemuda pencari solusi, bukan pemuda pemaki-maki."" - Ridwan Kamil",Yanzegh27,"Jayapura, Papua, Indonesia",
28,2020-08-25 14:16:19+00:00,1.29826E+18,"Langka berani, Ridwan Kamil untuk jadi relawan Vaksin COVID 19, jadi modal baik dari sisi marketing politik menuju RI 1 tahun 2024",Yanzegh27,"Jayapura, Papua, Indonesia",
29,2020-08-25 14:16:19+00:00,1.29826E+18,"Langka berani, Ridwan Kamil untuk jadi relawan Vaksin COVID 19, jadi modal baik dari sisi marketing politik menuju RI 1 tahun 2024",Yanzegh27,"Jayapura, Papua, Indonesia",
